1	308	Rua de Numbei Costa, Oe-Cusse, Pante Makassar,Timor-Leste	0101000020E61000003305B51B81195F4083AD97FE857A22C0	(+670)  7726 8665	fpwoec@gmail.com
2	657	Rua de Avenida Cidade de Beja Vila Verde - Dili- Timor Leste	0101000020E6100000C12A1ADD66645F40E1A4AF78432521C0	(+670)  331 2207	sally.bannah@grm.tl
3	150	Rua de Suco Manutasi  Ainaro Vila -  Timor- Leste	0101000020E610000084C62D6D85605F408DE273E586EB21C0	(+670)  7732 7672	\N
4	360	Rua de Suai Loro Covalima Ex. Bia hula Office Suai,Timor-Leste	0101000020E6100000FBCADD4A3B505F40ACB432A765B222C0	(+670)  7727 5654	\N
119	80	Rua Avenida Presidente Nicolau Lobato - Bairo Formosa - Dili, Timor Leste (Apartment 204 Plaza Hotel)	0101000020E6100000DB832273AB615F40F53DC272102321C0	(+670)   7724 5209	Jdesousa@australianvolunteers.com
6	422	Rua de Sabuli - Metinaro - Dili, Timor Leste	0101000020E6100000D57F1BE2936D5F400AD8B2E4AF1821C0	(+670)  7744 1213	\N
7	687	Rua de Lahomea - Maliana - Bobonaro	0101000020E61000006042250D7F4F5F409484BAD2560322C0	(+670)  7728 2660	\N
18	986	Rua de UN House Caicoli Street. Dili, Timor-Leste	0101000020E6100000864500C80D655F40CD838620932021C0	(+670)  7723 1310	dageng.liu@wfp.org
10	793	Rua de Tutuala - Lautem Lospalos- Timor- Leste	0101000020E6100000318FFB06BECF5F405A2B551B0FDE20C0	(+670)  7731 1399	one_ukani@yahoo.com.br
11	806	Rua de Estrada Dr Koffy Anan Mutiara Liquica - Jurusan Hospital Liquica	0101000020E61000002E51E3A398545F40D98B11DF883A21C0	(+670)  735 3848	\N
12	812	Rua de Patria dos Coqueiros Pante Quelapa (beside Esplanada Hotel), Dili Timor-Leste	0101000020E61000008AFA510C70635F40E2638E1CBE1921C0	(+670)  332 2775	timor@pazydesarrollo.org
13	820	Rua de Avenida Nuu Laran No. 20 Bairo dos Grilos (Ex TAF Office)- Dili, Timor- Leste	0101000020E61000008FB9E32E4D655F40D216A7C2D71B21C0	(+670)  7724  1401	info.timorleste@plan-international.org
15	939	Rua de Praia dos Coqueiros- Comoro-Dom Aleixo, (Besik Timor Plaza nia Sorin dalan ba IOB), Dili- Timor- Leste	0101000020E610000047EF2273AB615F401534C272102321C0	(+670)  7727 4163	timorleste@trianglegh.org
16	940	Rua Dom Alexio Corte Real - Fomento,  Mandarin - Bebora- Dili, Timor Leste (Joint with CRS)	0101000020E61000002C5EDD3E9F645F401698E6A56E1C21C0	(+670)  332 2375	krobertson@trocairetl.org
17	949	Rua de Caicoli - Dili Timor- Leste (UN House)	0101000020E6100000CF4E7A5FE3645F40F571CA67D71E21C0	(+670)  7731 1685	marcella.willis@uncdf.org
19	965	Rua de Caicoli - Dili, Timor Leste (UN House)	0101000020E6100000CF4E7A5FE3645F40F571CA67D71E21C0	(+670)  331 2481	carlos.martins@undss.org
20	1015	Rua de Suco Costa Oe-Cusse Pante Macassar A, Timor- Leste	0101000020E61000003305B51B81195F4083AD97FE857A22C0	(+670)  7727 4762	joseeta@yahoo.com.au
21	1082	Rua de Rio de Janeiro Ailoklaran - Bairo Pite - Dili ,Timor- Leste	0101000020E610000060315E328E635F408CD6554DB22321C0	(+670)7333 4800	\N
22	1100	Rua de RSS Tabako Klot Debos Suai - Covalima- Timor- Leste	0101000020E610000041B9395D394D5F403D749DDFCAA322C0	(+670)  7724 9412	fina.nape@yahoo.com
