1157	Grupo Hamrik - Metin	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7785 6383	\N	\N	\N	\N	\N
1149	Apoiu Desenvolvimento Comunitario (ADC)	\N	\N	\N	\N	\N	LNGO	f	\N	\N	\N	\N	2016-03-23	(+670)  7726 3606	\N	\N	\N	\N	\N
1142	Fedaros (Fundasaun Espinhos da Rosa)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7723 3299	\N	\N	\N	\N	\N
1141	Caunserlink (Capitas Unidos Servi Lian Laek)	\N	\N	\N	\N	\N	LNGO	f	\N	\N	\N	\N	2016-03-23	(+670)  737 9430	(+670)  734 7369	\N	\N	\N	\N
1140	Fundasaun Malaedoi	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7725 8241	(+670)  7734 6845	marcosilvaramos@yahoo.com	\N	\N	\N
1137	Grupo Centro Comunitaria Buka Hatene (CCBH) Liquica	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7732 3475	\N	\N	\N	\N	\N
1136	Haforsa Dezenvolvimento (SAVI)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7833 2816	(+670)  7742 9391	savi_liq@yahoo.com	\N	\N	\N
1275	Grupo Moris Kiak Ira - Ara Lospalos	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7739 6163	\N	\N	\N	\N	\N
1135	Tuba Rai Metin	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  332 2062	(+670)  7726 2887	contactus@tubaraimetin.com / soaresangelo.kif@gmail.com	\N	\N	\N
1133	Fundasaun Hader	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7768 9305	(+670)  7734 6021	manueldacruz70@gmail.com	\N	\N	\N
1134	Fo Liman Serbi Timor Leste (FOLSETIL)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7729 6886	(+670)  7734 9293	Folsetil@yahoo.com	\N	\N	\N
1129	Conselho Nacional Juventude Distrito Ermera (CNJDE)	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7736 0957	\N	\N	\N	\N	\N
1124	Embassy of Norway	\N	\N	\N	\N	\N	BI	f	\N	\N	\N	\N	2016-03-23	(+670)  331 0812	+(670)  7735 9918	embdil@mfa.no	\N	\N	\N
1123	Embassy of Portugal	\N	\N	\N	\N	\N	BI	t	\N	\N	\N	\N	2016-03-23	(+670)  331 2526	(+670)  331 2533	\N	(+670)  331 2526	\N	\N
1122	Embassy of Japan	\N	\N	\N	\N	\N	BI	t	\N	\N	\N	\N	2016-03-23	(+670)  332 3131	(+670)  332 3132	embassy.in.timor-leste@di.mofa.go.jp	(+670) 332 3130	\N	\N
1120	Embassy of the Republic of Indonesia	\N	\N	\N	\N	\N	BI	t	\N	\N	\N	\N	2016-03-23	(+670)  331 1109	(+670)  331 7107	mail@kbridili.org	(+670) 332.3684	\N	\N
1109	Ponta Leste Watch	\N	\N	\N	\N	\N	CBO	t	\N	\N	\N	\N	2016-03-23	(+670)  77329454	\N	pontalestewatch@gmail.com	\N	\N	\N
1106	Action For Change Foundation (ACF)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7729 7699	\N	acf.timor10@actionforchangefundation.info	\N	\N	\N
1099	Centro Comunidade Covalima (CCC)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7778 2598	\N	tarli_74@yahoo.com	\N	\N	\N
1098	Fundasaun Comunidade Beonsila( (FUNIBES)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7710 7669	(+670)  7794 3266	atinosequera@gmail.com	\N	\N	\N
1088	Luta Ba Futuru (LBF)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7758 6830	(+670)  7748 7841	futuruluta1@gmail.com	\N	\N	\N
1067	Uma Media Oecuse - Enclave	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7727 9859	\N	\N	\N	\N	\N
1069	Hiam Health (Together we help each other) Hamutuk ita ajuda Malu	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  331 0266	(+670) 7728 8090	tony.guterres@hiamhealth.org	\N	\N	\N
2262	Grupo Mahau Bara Mautalo Hau Lema	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7625 2900	\N	\N	\N	\N	\N
1049	Ita ba Paz (We Hope For Peace)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7727 9147	(+670) 7690 3641	itabapaztimor@gmail.com	\N	\N	\N
1079	Grupo Cdadalak Buka ba Nati ( CBB)	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7729 8009	(+670)  7725 6924	\N	\N	\N	\N
1041	ACDI/VOCA (Agricultural Cooperative Development International/Volunteers in Overseas Cooperative Assistance)	\N	\N	\N	\N	\N	INGO	f	\N	\N	\N	\N	2016-03-23	(+670)  331 0902	(+670)  7734 5533	rrosengren@acdivoca-timor.org	\N	\N	\N
1081	Beon Sila Cooperativa	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-03-23	(+670)  7725 9976	(+670)  7794 3266	\N	\N	\N	\N
2001	Yayasan Seraphine	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-03-23	(+670)  7736 2897	\N	sister_admlps@yahoo.co.id	\N	\N	\N
1035	UN - HABITAT	\N	\N	\N	\N	\N	UN	f	\N	\N	\N	\N	2016-03-23	(+81) 92 724 7121	\N	\N	\N	\N	\N
1138	Fundasaun Rai Maran/Yayasan Rai Maran	\N	\N	\N	\N	\N	LNGO	f	\N	\N	\N	\N	2016-05-05	(+670)  7735 8352	(+670)  7715 9206	augusto_godinho@yahoo.com	\N	\N	\N
1097	Halibur Orienta Lao Unidade (HLORILAU)	\N	\N	\N	\N	\N	LNGO	t	\N	\N	\N	\N	2016-09-20	(+670)  7747 3381	(+670)  7744 0758	pousadambs@gmail.com	\N	\N	\N
1089	Prontu Tane Estado Soberano (PROTES)	\N	\N	\N	\N	\N	LNGO	f	\N	\N	\N	\N	2016-05-05	(+670)  7756 0713	\N	protes@gmail.com	\N	\N	\N
1102	Roman Nutetu	\N	\N	\N	\N	\N	LNGO	f	\N	\N	\N	\N	2016-05-05	(+670)  7741 1730	\N	\N	\N	\N	\N
1154	Grupo Haburas Caisidu	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-05-10	(+670)  7738 3440	\N	\N	\N	\N	\N
1086	Grupo Juventude Binipu Oe-Cusse	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-05-11	(+670)  7742 2593	\N	\N	\N	\N	\N
1146	Grupo Mada Heliq	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-05-11	(+670)  7734 7012	\N	\N	\N	\N	\N
1153	Grupo Pesca Watabo'o	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-05-11	(+670)  7729 1161	\N	\N	\N	\N	\N
1132	Grupo Pisulau	\N	\N	\N	\N	\N	CBO	f	\N	\N	\N	\N	2016-05-11	(+670)  7744 7435	(+670)  7777 2981	\N	\N	\N	\N
1112	Embassy of Brazil	\N	\N	\N	\N	\N	BI	t	\N	\N	\N	\N	2016-11-21	(+670)  332 4203	(+670)  332 1728	brasemb.dili@itamaraty.gov.br	\N	\N	\N
