25029	Resilensia komunidade rural iha variabilidade mudansa klimatika	Resilensia komunidade rural iha variabilidade mudansa klimatika	\N	\N	\N	Halao atividade Bio-Enginaria ba estabilizasaun rai no infrastrutua rural	Halao atividade Bio-Enginaria ba estabilizasaun rai no infrastrutua rural	\N	\N	\N	2017-01-01	2017-06-30	2017-06-09	\N	\N	\N	\N	\N	A	1	\N	\N
25065	Towards a strengthened civil society for a better protection of children and women victims of violence	\N	Towards a strengthened civil society for a better protection of children and women victims of violence	\N	\N	Target CSoS working on the protection of children and wpmen victims of vilence	\N	Target CSoS working on the protection of children and wpmen victims of vilence	\N	\N	2013-10-01	\N	2017-07-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
24159	Water and Sanitation Construction	\N	Water and Sanitation Construction	\N	\N	Capacity building for community water and sanitation	\N	Capacity building for community water and sanitation	\N	\N	2013-06-17	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24158	Implementation of organic fertilizer water, vegetables and plants	\N	Implementation of organic fertilizer water, vegetables and plants	\N	\N	Provide training to the public how to use organic fertilizer properly	\N	Provide training to the public how to use organic fertilizer properly	\N	\N	2013-06-17	2014-10-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24157	News Package	\N	News Package	\N	\N	Making the Local News Programs of Agriculture, Health, Education, and Good morning Lautem	\N	Making the Local News Programs of Agriculture, Health, Education, and Good morning Lautem	\N	\N	2000-05-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
430	Office Rehabilitation	\N	Office Rehabilitation	\N	\N	\N	\N	\N	\N	\N	2003-01-01	2003-05-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
433	Training For Agricultur, Make Medicide Organic, the end Sick Agriculture and Product Salate Manure	\N	Training For Agricultur, Make Medicide Organic, the end Sick Agriculture and Product Salate Manure	\N	\N	\N	\N	\N	\N	\N	2007-05-03	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24440	Youth Radio for Peace Building in Timor-Leste	\N	Youth Radio for Peace Building in Timor-Leste	\N	\N	Support to non Governmental organizations (NGOS)	\N	Support to non Governmental organizations (NGOS)	\N	\N	2010-04-01	2015-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23320	Make Aksesoris	\N	Make Aksesoris	\N	\N	Make earrings and necklaces	\N	Make earrings and necklaces	\N	\N	2009-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
23321	Agriculture	\N	Agriculture	\N	\N	Kuda Modo	\N	Kuda Modo	\N	\N	2008-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
486	Training for Development and Capacity Building	\N	Training for Development and Capacity Building	\N	\N	NA	\N	NA	\N	\N	2001-05-01	2004-05-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
